GOROOT=C:\Users\xuing\sdk\go1.24.3 #gosetup
GOPATH=C:\Users\xuing\go #gosetup
C:\Users\xuing\sdk\go1.24.3\bin\go.exe build -o C:\Users\xuing\AppData\Local\JetBrains\GoLand2025.1\tmp\GoLand\___1go_build_go_sub.exe "C:\Users\xuing\OneDrive - Japan Advanced Institute of Science and Technology\Project\I483\kadai1\go-sub\main.go" #gosetup
C:\Users\xuing\AppData\Local\JetBrains\GoLand2025.1\tmp\GoLand\___1go_build_go_sub.exe #gosetup
✅ Connected to MQTT broker
2025/05/25 21:16:57 📡 Listening to: i483/sensors/s2510082/SCD41/co2
2025/05/25 21:16:57 📡 Listening to: i483/sensors/s2510082/SCD41/temperature
2025/05/25 21:16:57 📡 Listening to: i483/sensors/s2510082/SCD41/humidity
2025/05/25 21:16:57 📡 Listening to: i483/sensors/s2510082/BH1750/illumination
2025/05/25 21:16:57 📡 Listening to: i483/sensors/s2510082/RPR0521RS/ambient_light
2025/05/25 21:16:57 📡 Listening to: i483/sensors/s2510082/RPR0521RS/proximity
2025/05/25 21:16:57 📡 Listening to: i483/sensors/s2510082/RPR0521RS/illumination
2025/05/25 21:16:57 📡 Listening to: i483/sensors/s2510082/RPR0521RS/infrared_illumination
2025/05/25 21:16:57 📡 Listening to: i483/sensors/s2510082/DPS310/temperature
2025/05/25 21:16:57 📡 Listening to: i483/sensors/s2510082/DPS310/air_pressure
2025/05/25 21:16:57 📡 Listening to: i483/sensors/s2510082/DPS310/altitude
2025/05/25 21:17:05 📥 SCD41/co2 = 1306
2025/05/25 21:17:05 📥 SCD41/temperature = 22.47
2025/05/25 21:17:05 📥 SCD41/humidity = 69.53
2025/05/25 21:17:05 📥 BH1750/illumination = 299.17
2025/05/25 21:17:05 📥 RPR0521RS/ambient_light = 128.08
2025/05/25 21:17:05 📥 RPR0521RS/proximity = 51
2025/05/25 21:17:05 📥 RPR0521RS/illumination = 94.00
2025/05/25 21:17:05 📥 RPR0521RS/infrared_illumination = 16.00
2025/05/25 21:17:05 📥 DPS310/temperature = 23.40
2025/05/25 21:17:05 📥 DPS310/air_pressure = 999.35
2025/05/25 21:17:05 📥 DPS310/altitude = 116.35
2025/05/25 21:17:20 📥 SCD41/co2 = 1306
2025/05/25 21:17:20 📥 SCD41/temperature = 22.48
2025/05/25 21:17:20 📥 SCD41/humidity = 69.55
2025/05/25 21:17:20 📥 BH1750/illumination = 299.17
2025/05/25 21:17:20 📥 RPR0521RS/ambient_light = 128.08
2025/05/25 21:17:20 📥 RPR0521RS/proximity = 51
2025/05/25 21:17:20 📥 RPR0521RS/illumination = 94.00
2025/05/25 21:17:20 📥 RPR0521RS/infrared_illumination = 16.00
2025/05/25 21:17:20 📥 DPS310/temperature = 23.39
2025/05/25 21:17:20 📥 DPS310/air_pressure = 999.35
2025/05/25 21:17:20 📥 DPS310/altitude = 116.41
2025/05/25 21:17:35 📥 SCD41/co2 = 1305
2025/05/25 21:17:35 📥 SCD41/temperature = 22.46
2025/05/25 21:17:35 📥 SCD41/humidity = 69.53
2025/05/25 21:17:35 📥 BH1750/illumination = 300.83
2025/05/25 21:17:35 📥 RPR0521RS/ambient_light = 128.08
2025/05/25 21:17:35 📥 RPR0521RS/proximity = 51
2025/05/25 21:17:35 📥 RPR0521RS/illumination = 94.00
2025/05/25 21:17:35 📥 RPR0521RS/infrared_illumination = 16.00
2025/05/25 21:17:35 📥 DPS310/temperature = 23.38
2025/05/25 21:17:35 📥 DPS310/air_pressure = 999.34
2025/05/25 21:17:35 📥 DPS310/altitude = 116.42
2025/05/25 21:17:50 📥 SCD41/co2 = 1305
2025/05/25 21:17:50 📥 SCD41/temperature = 22.47
2025/05/25 21:17:50 📥 SCD41/humidity = 69.49
2025/05/25 21:17:50 📥 BH1750/illumination = 299.17
2025/05/25 21:17:50 📥 RPR0521RS/ambient_light = 129.95
2025/05/25 21:17:50 📥 RPR0521RS/proximity = 51
2025/05/25 21:17:50 📥 RPR0521RS/illumination = 94.00
2025/05/25 21:17:50 📥 RPR0521RS/infrared_illumination = 15.00
2025/05/25 21:17:50 📥 DPS310/temperature = 23.39
2025/05/25 21:17:50 📥 DPS310/air_pressure = 999.34
2025/05/25 21:17:50 📥 DPS310/altitude = 116.42
2025/05/25 21:18:05 📥 SCD41/co2 = 1306
2025/05/25 21:18:05 📥 SCD41/temperature = 22.49
2025/05/25 21:18:05 📥 SCD41/humidity = 69.49
2025/05/25 21:18:05 📥 BH1750/illumination = 299.17
2025/05/25 21:18:05 📥 RPR0521RS/ambient_light = 129.95
2025/05/25 21:18:05 📥 RPR0521RS/proximity = 51
2025/05/25 21:18:05 📥 RPR0521RS/illumination = 94.00
2025/05/25 21:18:05 📥 RPR0521RS/infrared_illumination = 15.00
2025/05/25 21:18:05 📥 DPS310/temperature = 23.41
2025/05/25 21:18:05 📥 DPS310/air_pressure = 999.34
2025/05/25 21:18:05 📥 DPS310/altitude = 116.42
2025/05/25 21:18:20 📥 SCD41/co2 = 1307
2025/05/25 21:18:20 📥 SCD41/temperature = 22.47
2025/05/25 21:18:20 📥 SCD41/humidity = 69.47
2025/05/25 21:18:20 📥 BH1750/illumination = 299.17
2025/05/25 21:18:20 📥 RPR0521RS/ambient_light = 129.95
2025/05/25 21:18:20 📥 RPR0521RS/proximity = 51
2025/05/25 21:18:20 📥 RPR0521RS/illumination = 94.00
2025/05/25 21:18:20 📥 RPR0521RS/infrared_illumination = 15.00
2025/05/25 21:18:20 📥 DPS310/temperature = 23.39
2025/05/25 21:18:20 📥 DPS310/air_pressure = 999.34
2025/05/25 21:18:20 📥 DPS310/altitude = 116.42
2025/05/25 21:18:35 📥 SCD41/co2 = 1309
2025/05/25 21:18:35 📥 SCD41/temperature = 22.48
2025/05/25 21:18:35 📥 SCD41/humidity = 69.48
2025/05/25 21:18:35 📥 BH1750/illumination = 299.17
2025/05/25 21:18:35 📥 RPR0521RS/ambient_light = 129.95
2025/05/25 21:18:35 📥 RPR0521RS/proximity = 51
2025/05/25 21:18:35 📥 RPR0521RS/illumination = 94.00
2025/05/25 21:18:35 📥 RPR0521RS/infrared_illumination = 15.00
2025/05/25 21:18:35 📥 DPS310/temperature = 23.38
2025/05/25 21:18:35 📥 DPS310/air_pressure = 999.34
2025/05/25 21:18:35 📥 DPS310/altitude = 116.42
